pca_kernel,pca_dim,score1,score2
,,0.8855000000000001,0.8899999999999999
,8.0,0.774,0.784
,16.0,0.8415000000000001,0.849
,32.0,0.8825,0.8734999999999999
,64.0,0.884,0.8869999999999999
,128.0,0.877,0.8860000000000001
rbf,,0.8855000000000001,0.8899999999999999
rbf,8.0,0.6685000000000001,0.6984999999999999
rbf,16.0,0.7809999999999999,0.785
rbf,32.0,0.8215,0.8345
rbf,64.0,0.8450000000000001,0.8560000000000001
rbf,128.0,0.8530000000000001,0.865
sigmoid,,0.8855000000000001,0.8899999999999999
sigmoid,8.0,0.7115,0.7455
sigmoid,16.0,0.7965,0.8079999999999998
sigmoid,32.0,0.8414999999999999,0.8470000000000001
sigmoid,64.0,0.8475000000000001,0.8575000000000002
sigmoid,128.0,0.8494999999999999,0.8595
